title,type,year,genre,idOwner
Herr Puntila und sein Knecht Matti,Movie,1960,Drama,tt0048162
Toro bravo,Movie,1960,Drama,tt0048066
Juicio final,Movie,1960,Drama,tt0048234
El impostor,Movie,1960,Drama,tt0049360
La encrucijada,Movie,1960,Drama,tt0051582
Los pequeños gigantes,Movie,1960,Drama,tt0051869
Kapò,Movie,1960,Drama,tt0052961
Konec cesty,Movie,1960,Drama,tt0052973
The Crowning Experience,Movie,1960,Drama,tt0052715
Il peccato degli anni verdi,Movie,1960,Drama,tt0052584
Herr Puntila und sein Knecht Matti,Movie,1960,Drama,tt0048162
Toro bravo,Movie,1960,Drama,tt0048066
Juicio final,Movie,1960,Drama,tt0048234
El impostor,Movie,1960,Drama,tt0049360
La encrucijada,Movie,1960,Drama,tt0051582
Los pequeños gigantes,Movie,1960,Drama,tt0051869
Kapò,Movie,1960,Drama,tt0052961
Konec cesty,Movie,1960,Drama,tt0052973
The Crowning Experience,Movie,1960,Drama,tt0052715
Il peccato degli anni verdi,Movie,1960,Drama,tt0052584
Herr Puntila und sein Knecht Matti,Movie,1960,Drama,tt0048162
Toro bravo,Movie,1960,Drama,tt0048066
Juicio final,Movie,1960,Drama,tt0048234
El impostor,Movie,1960,Drama,tt0049360
La encrucijada,Movie,1960,Drama,tt0051582
Los pequeños gigantes,Movie,1960,Drama,tt0051869
Kapò,Movie,1960,Drama,tt0052961
Konec cesty,Movie,1960,Drama,tt0052973
The Crowning Experience,Movie,1960,Drama,tt0052715
Il peccato degli anni verdi,Movie,1960,Drama,tt0052584
Herr Puntila und sein Knecht Matti,Movie,1960,Drama,tt0048162
Toro bravo,Movie,1960,Drama,tt0048066
Juicio final,Movie,1960,Drama,tt0048234
El impostor,Movie,1960,Drama,tt0049360
La encrucijada,Movie,1960,Drama,tt0051582
Los pequeños gigantes,Movie,1960,Drama,tt0051869
Kapò,Movie,1960,Drama,tt0052961
Konec cesty,Movie,1960,Drama,tt0052973
The Crowning Experience,Movie,1960,Drama,tt0052715
Il peccato degli anni verdi,Movie,1960,Drama,tt0052584
War Is Hell,Movie,1961,Drama,tt0052376
Dúvad,Movie,1961,Drama,tt0052768
Obaltan,Movie,1961,Drama,tt0053577
Senda prohibida,Movie,1961,Drama,tt0053262
Ellas también son rebeldes,Movie,1961,Drama,tt0052774
Dostigaev i drugie,Movie,1961,Drama,tt0052756
Ce soir ou jamais,Movie,1961,Drama,tt0053704
Atlas,Movie,1961,Drama,tt0053610
Aproape de soare,Movie,1961,Drama,tt0053605
Aas Ka Panchhi,Movie,1961,Drama,tt0053566
War Is Hell,Movie,1961,Drama,tt0052376
Dúvad,Movie,1961,Drama,tt0052768
Obaltan,Movie,1961,Drama,tt0053577
Senda prohibida,Movie,1961,Drama,tt0053262
Ellas también son rebeldes,Movie,1961,Drama,tt0052774
Dostigaev i drugie,Movie,1961,Drama,tt0052756
Ce soir ou jamais,Movie,1961,Drama,tt0053704
Atlas,Movie,1961,Drama,tt0053610
Aproape de soare,Movie,1961,Drama,tt0053605
