,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,duracion
0,"What Is Love - 7"" Mix",['Haddaway'],2024-07-12T16:20:49Z,False,spotify:track:3NvS0SxNWIPiAJoPWUpZzr,10,,https://open.spotify.com/track/3NvS0SxNWIPiAJoPWUpZzr,['0Suv0tRrNrUlRzAy8aXjma'],270373
1,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,"['Eiffel 65', 'Gabry Ponte']",2024-07-12T16:20:49Z,False,spotify:track:2yAVzRiEQooPEJ9SYx11L3,25,,https://open.spotify.com/track/2yAVzRiEQooPEJ9SYx11L3,"['64rxQRJsLgZwHHyWKB8fiF', '5ENS85nZShljwNgg4wFD7D']",283747
2,Sing Hallelujah!,['Dr. Alban'],2024-07-12T16:20:49Z,False,spotify:track:6RQtvdmW0fnWv1VOKpgYcq,0,,https://open.spotify.com/track/6RQtvdmW0fnWv1VOKpgYcq,['6BkcAbUkfIBM4XudxieMq8'],241066
3,Barbie Girl,['Aqua'],2024-07-12T16:20:49Z,False,spotify:track:5ZrDlcxIDZyjOzHdYW1ydr,76,,https://open.spotify.com/track/5ZrDlcxIDZyjOzHdYW1ydr,['6kBjAFKyd0he7LiA5GQ3Gz'],197960
4,Everybody (Backstreet's Back) - Radio Edit,['Backstreet Boys'],2024-07-12T16:20:49Z,False,spotify:track:1di1BEgJYzPvXUuinsYJGP,76,,https://open.spotify.com/track/1di1BEgJYzPvXUuinsYJGP,['5rSXSAkZ67PYJSvpUpkOr7'],225360
5,Believe,['Cher'],2024-07-12T16:20:49Z,False,spotify:track:2goLsvvODILDzeeiT4dAoR,78,,https://open.spotify.com/track/2goLsvvODILDzeeiT4dAoR,['72OaDtakiy6yFqkt4TsiFt'],239026
6,Rhythm Is A Dancer,['SNAP!'],2024-07-12T16:20:49Z,False,spotify:track:1IWzfq3sLedGQ3fb2hAMBA,5,,https://open.spotify.com/track/1IWzfq3sLedGQ3fb2hAMBA,['2FrKQPjJe4pVMZOgm0ESOx'],332229
7,Mr. Vain - Original Radio Edit,['Culture Beat'],2024-07-12T16:20:49Z,False,spotify:track:4ih3dyFZoeTdaeJW9mPbOI,70,,https://open.spotify.com/track/4ih3dyFZoeTdaeJW9mPbOI,['0BZ3BHzfYwpd3k5TDnvAz8'],257466
8,All That She Wants,['Ace of Base'],2024-07-12T16:20:49Z,False,spotify:track:6kWJvPfC4DgUpRsXKNa9z9,76,,https://open.spotify.com/track/6kWJvPfC4DgUpRsXKNa9z9,['5ksRONqssB7BR161NTtJAm'],211213
9,Mambo No. 5 (a Little Bit of...),['Lou Bega'],2024-07-12T16:20:49Z,False,spotify:track:6x4tKaOzfNJpEJHySoiJcs,77,,https://open.spotify.com/track/6x4tKaOzfNJpEJHySoiJcs,['46lnlnlU0dXTDpoAUmH6Qx'],220293
10,Coco Jamboo,['Mr. President'],2024-07-12T16:20:49Z,False,spotify:track:5fRvePkRGdpn2nKacG7I6d,74,,https://open.spotify.com/track/5fRvePkRGdpn2nKacG7I6d,['7KBkgunlONG7LPxs93pgpp'],218733
11,"Freed From Desire - prod. Molella, Phil Jay","['Gala', 'Molella', 'Phil Jay']",2024-07-12T16:20:49Z,False,spotify:track:3u5N55tHf7hXATSQrjBh2q,78,,https://open.spotify.com/track/3u5N55tHf7hXATSQrjBh2q,"['3OqTvcWgb0xaainosGVvuZ', '6PozOimyS8a9OxMddMSBCf', '2yUcByiqLsQiJgGKIn1xeb']",213394
12,Cotton Eye Joe,['Rednex'],2024-07-12T16:20:49Z,False,spotify:track:06hsdMbBxWGqBO0TV0Zrkf,72,,https://open.spotify.com/track/06hsdMbBxWGqBO0TV0Zrkf,['22Zqu1yyebVnbve8FxbJ2g'],194000
13,It's My Life,['Dr. Alban'],2024-07-12T16:20:49Z,False,spotify:track:6HdM7gzXVgcpepv276raog,4,,https://open.spotify.com/track/6HdM7gzXVgcpepv276raog,['6BkcAbUkfIBM4XudxieMq8'],239933
14,The Rhythm of the Night,['Corona'],2024-07-12T16:20:49Z,False,spotify:track:0ofMkI3jzmGCElAOgOLeo3,71,,https://open.spotify.com/track/0ofMkI3jzmGCElAOgOLeo3,['26T6b8maqEVltcmE4kSDUl'],264280
15,Push The Feeling On - Mk Dub Revisited Edit,"['Nightcrawlers', 'MK']",2024-07-12T16:20:49Z,False,spotify:track:1EWsVHU4FNAdtN4R8FETag,66,,https://open.spotify.com/track/1EWsVHU4FNAdtN4R8FETag,"['1gALaWbNDnwS2ECV09sn2A', '1yqxFtPHKcGcv6SXZNdyT9']",243160
16,Wannabe,['Spice Girls'],2024-07-12T16:20:49Z,False,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,81,,https://open.spotify.com/track/1Je1IMUlBXcx1Fz0WE7oPT,['0uq5PttqEjj3IH1bzwcrXF'],173026
17,"Boom, Boom, Boom, Boom!!",['Vengaboys'],2024-07-12T16:20:49Z,False,spotify:track:2Ld2LehpgQNREMxl9LlIzm,1,,https://open.spotify.com/track/2Ld2LehpgQNREMxl9LlIzm,['0cwmNvclzPd8mQnoHuIksj'],202583
18,Let's Get Loud,['Jennifer Lopez'],2024-07-12T16:20:49Z,False,spotify:track:6kQz6t5z1FK4uohPh8Kd73,69,,https://open.spotify.com/track/6kQz6t5z1FK4uohPh8Kd73,['2DlGxzQSjYe5N6G9nkYghR'],238226
19,Better Off Alone,['Alice Deejay'],2024-07-12T16:20:49Z,False,spotify:track:0pMUR7Uvp6vxlbG0qBFvgM,2,,https://open.spotify.com/track/0pMUR7Uvp6vxlbG0qBFvgM,['2tbvDi9eXf9XXp06LupkED'],214883
20,Thunderstruck,['AC/DC'],2024-07-12T16:20:49Z,False,spotify:track:57bgtoPSgt236HzfBOd8kj,85,,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj,['711MCceyCBcFnzjGY4Q7Un'],292880
21,...Baby One More Time,['Britney Spears'],2024-07-12T16:20:49Z,False,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,83,,https://open.spotify.com/track/3MjUtNVVq3C8Fn0MP3zhXa,['26dSoYclwsYLMAKD3tpOr4'],211066
22,Return of the Mack,['Mark Morrison'],2024-07-12T16:20:49Z,False,spotify:track:3jDdpx9PMlfMBS5tOBHFm9,78,,https://open.spotify.com/track/3jDdpx9PMlfMBS5tOBHFm9,['6V3F8MZrOKdT9fU686ybE9'],213093
23,No Diggity,"['Blackstreet', 'Dr. Dre', 'Queen Pen']",2024-07-12T16:20:49Z,False,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,77,,https://open.spotify.com/track/6MdqqkQ8sSC0WB4i8PyRuQ,"['2P3cjUru4H3fhSXXNxE9kA', '6DPYiyq5kWVQS4RGwxzPC7', '0VbIlorLz3I5SEtIsc5vAr']",304600
24,Doo Wop (That Thing),['Ms. Lauryn Hill'],2024-07-12T16:20:49Z,False,spotify:track:0uEp9E98JB5awlA084uaIg,77,,https://open.spotify.com/track/0uEp9E98JB5awlA084uaIg,['2Mu5NfyYm8n5iTomuKAEHl'],320266
25,Livin' la Vida Loca,['Ricky Martin'],2024-07-12T16:20:49Z,False,spotify:track:0Ph6L4l8dYUuXFmb71Ajnd,75,,https://open.spotify.com/track/0Ph6L4l8dYUuXFmb71Ajnd,['7slfeZO9LsJbWgpkIoXBUJ'],243160
